number,location,WaffelPackno,WaffelPackrow,WaffelPackcol,WaferID,Waferrow,Wafercol,BINcode
35494_040_PSP_MAINL,1,9,2,5,N6Y21501D6,-8,16,49
,2,9,2,4,N6Y21501D6,-8,17,49
,3,9,2,3,N6Y21501D6,-8,18,49
,4,9,2,2,N6Y21501D6,-8,19,49
,5,9,2,1,N6Y21501D6,-8,20,49
,6,9,1,6,N6Y21501D6,-8,14,49
,7,9,1,5,N6Y21501D6,-8,13,49
,8,9,1,4,N6Y21501D6,-8,12,49
,9,9,1,3,N6Y21501D6,-8,11,49
,10,9,1,2,N6Y21501D6,-8,10,49
,11,9,1,1,N6Y21501D6,-8,9,49
,12,10,3,6,N6Y21502D1,-1,10,49
,13,10,3,5,N6Y21502D1,-1,11,49
,14,10,3,4,N6Y21502D1,-1,12,49
,15,10,3,3,N6Y21502D1,-1,13,49
,16,10,3,2,N6Y21502D1,-1,14,49
